"No.","Time","Source","Destination","Protocol","Length","Info"
"17","6.077358","192.168.1.40","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"43","12.634470","192.168.1.40","80.58.61.254","DNS","85","Standard query 0x2f14 A api.flightproxy.skype.com"
"44","12.634470","192.168.1.40","80.58.61.254","DNS","85","Standard query 0x77df AAAA api.flightproxy.skype.com"
"45","12.634608","192.168.1.40","80.58.61.254","DNS","77","Standard query 0x4f9b A api3.cc.skype.com"
"46","12.634787","192.168.1.40","80.58.61.254","DNS","77","Standard query 0x506f AAAA api3.cc.skype.com"
"47","12.638161","80.58.61.254","192.168.1.40","DNS","261","Standard query response 0x77df AAAA api.flightproxy.skype.com CNAME api-flightproxy-skype.trafficmanager.net CNAME a-flightproxy-euno-01-skype.cloudapp.net SOA ns1-201.azure-dns.com"
"48","12.638549","80.58.61.254","192.168.1.40","DNS","206","Standard query response 0x2f14 A api.flightproxy.skype.com CNAME api-flightproxy-skype.trafficmanager.net CNAME a-flightproxy-euno-01-skype.cloudapp.net A 13.70.198.241"
"49","12.639527","80.58.61.254","192.168.1.40","DNS","179","Standard query response 0x4f9b A api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-frce-10-skype.cloudapp.net A 52.123.144.110"
"53","12.666676","192.168.1.40","80.58.61.250","DNS","77","Standard query 0x506f AAAA api3.cc.skype.com"
"54","12.669449","80.58.61.250","192.168.1.40","DNS","234","Standard query response 0x506f AAAA api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-swce-10-skype.cloudapp.net SOA ns1-201.azure-dns.com"
"60","12.686553","192.168.1.40","80.58.61.254","DNS","92","Standard query 0x6077 A gateway.bingviz.microsoftapp.net"
"61","12.690977","80.58.61.254","192.168.1.40","DNS","260","Standard query response 0x6077 A gateway.bingviz.microsoftapp.net CNAME bingviz.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME dual.part-0015.t-0009.t-msedge.net CNAME part-0015.t-0009.t-msedge.net A 13.107.213.43 A 13.107.246.43"
"63","12.692925","80.58.61.254","192.168.1.40","DNS","234","Standard query response 0x506f AAAA api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-swce-09-skype.cloudapp.net SOA ns1-201.azure-dns.com"
"64","12.693273","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"65","12.693300","192.168.1.40","52.123.144.60","UDP","85","56474  >  3478 Len=43"
